Start	End	Type	Weight
5535	4773	1	1
5535	4775	1	1
5535	4776	1	1
5530	4772	0	1
5530	4773	0	1
5530	4775	0	1
5530	4776	0	1
5532	4772	0	1
5532	4773	0	1
5532	4775	0	1
5532	4776	0	1
5533	4772	0	1
5533	4773	0	1
5533	4775	0	1
5533	4776	0	1
5534	4772	0	1
5534	4773	0	1
5534	4775	0	1
5534	4776	0	1
5535	4772	0	1
5535	4773	0	1
5535	4775	0	1
5535	4776	0	1
6891	6892	0	1
6890	6892	0	1
2923	811	0	1
6891	2923	0	1
6890	2923	0	1
6890	811	0	1
6891	811	0	1
6892	2923	0	1
6892	811	0	1
3105	3106	0	1
3105	3107	0	1
3105	3133	0	1
3105	3134	0	1
3105	3135	0	1
3106	3107	0	1
3106	3133	0	1
3106	3134	0	1
3106	3135	0	1
3107	3133	0	1
3107	3134	0	1
3107	3135	0	1
3133	3134	0	1
3133	3135	0	1
3134	3135	0	1
2923	3105	0	1
2923	3106	0	1
2923	3107	0	1
2923	3133	0	1
2923	3134	0	1
2923	3135	0	1
811	3105	0	1
811	3106	0	1
811	3107	0	1
811	3133	0	1
811	3134	0	1
811	3135	0	1
3105	567	0	1
3106	567	0	1
3107	567	0	1
3133	567	0	1
3134	567	0	1
3135	567	0	1
10000	2932	1	1
207	2932	1	1
208	2932	1	1
2932	1499	1	1
10488	1385	0	1
10488	1386	0	1
10488	1388	0	1
10488	148327	0	1
10488	468	0	1
10488	64764	0	1
10488	84699	0	1
10488	90993	0	1
10488	9586	0	1
1385	1386	0	1
1385	1388	0	1
1385	148327	0	1
1385	468	0	1
1385	64764	0	1
1385	84699	0	1
1385	90993	0	1
1385	9586	0	1
1386	1388	0	1
1386	148327	0	1
1386	468	0	1
1386	64764	0	1
1386	84699	0	1
1386	90993	0	1
1386	9586	0	1
1388	148327	0	1
1388	468	0	1
1388	64764	0	1
1388	84699	0	1
1388	90993	0	1
1388	9586	0	1
148327	468	0	1
148327	64764	0	1
148327	84699	0	1
148327	90993	0	1
148327	9586	0	1
468	64764	0	1
468	84699	0	1
468	90993	0	1
468	9586	0	1
64764	84699	0	1
64764	90993	0	1
64764	9586	0	1
84699	90993	0	1
84699	9586	0	1
90993	9586	0	1
5566	10488	1	1
5566	1385	1	1
5566	1386	1	1
5566	1388	1	1
5566	148327	1	1
5566	468	1	1
5566	64764	1	1
5566	84699	1	1
5566	90993	1	1
5566	9586	1	1
5567	10488	1	1
5567	1385	1	1
5567	1386	1	1
5567	1388	1	1
5567	148327	1	1
5567	468	1	1
5567	64764	1	1
5567	84699	1	1
5567	90993	1	1
5567	9586	1	1
5568	10488	1	1
5568	1385	1	1
5568	1386	1	1
5568	1388	1	1
5568	148327	1	1
5568	468	1	1
5568	64764	1	1
5568	84699	1	1
5568	90993	1	1
5568	9586	1	1
1432	10488	1	2
1432	1385	1	2
1432	1386	1	2
1432	1388	1	2
1432	148327	1	2
1432	468	1	2
1432	64764	1	2
1432	84699	1	2
1432	90993	1	2
1432	9586	1	2
5600	10488	1	2
5600	1385	1	2
5600	1386	1	2
5600	1388	1	2
5600	148327	1	2
5600	468	1	2
5600	64764	1	2
5600	84699	1	2
5600	90993	1	2
5600	9586	1	2
5603	10488	1	2
5603	1385	1	2
5603	1386	1	2
5603	1388	1	2
5603	148327	1	2
5603	468	1	2
5603	64764	1	2
5603	84699	1	2
5603	90993	1	2
5603	9586	1	2
6300	10488	1	2
6300	1385	1	2
6300	1386	1	2
6300	1388	1	2
6300	148327	1	2
6300	468	1	2
6300	64764	1	2
6300	84699	1	2
6300	90993	1	2
6300	9586	1	2
1019	5925	1	2
1021	5925	1	2
595	5925	1	2
7132	8717	0	1
